CONCEPTO,DEPARTAMENTO,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008_P,2008_R,2008_V,2008,2009_P,2009,2010_P ,2010,2011_P,2011_AD,2011,2012,2013_P,2013_V,2013,2014_P,2014_V,2014,2015_P,2015,2016_P,2016,2017_P,2017,2018_P,2018,2019_P,2019,2020_P
REGALIAS MINERAS,ORURO,0,0,0,0,0,19.37394245,29.9606618,29.11922499,26.62028389,29.30305697,29.16592019,31.27591943,26.5392606,28.30595774,46.37953949,128.18415781,138.41571639,114.28386,,114.28386,106.09941088,116.896546,76.25339043,108.39958,113.6582613,108.878308,0,154.28984465,134.71840237,96.884944,136.701716,109.00579168,104.571262,107.624144,106.33327256,107.346324,77.52167634,72.889347,69.24753853,66.512439,85.33599929,73.003998,80.47383656,82.786546,77.79151739,72.277052
REGALIAS MINERAS,POTOSI,0,0,0,0,0,6.99999117,20.61900165,12.26637767,11.119033,16.39246562,9.65753425,11.07180434,14.84096055,29.56401269,50.14045839,210.06874255,305.76056303,488.673016,,488.673016,403.47026194,441.743067,386.43106235,375.627121,556.58033306,595.645216,0,773.07103747,634.22523145,473.797995,473.797995,513.75524206,485.104027,576.471957,587.25413474,497.977487,457.17350378,466.654348,481.03076021,425.236144,683.7726619,500.958318,688.92985289,589.255851,615.30738928,567.418293
REGALIAS MINERAS,TARIJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581524,,,0,0.0042912,0,0.07914801,,0.10070313,0,0,0.14896806,0.16916464,0.005061,0.005061,0.17738746,0.014851,0.901297,0.91792021,0.015245,0.96560171,0.778353,1.22179233,0.005382,1.01447938,0.884579,0.85036897,0.886366,0.91884487,0.83846
REGALIAS MINERAS,SANTA CRUZ,0,0,0,0,0,0,0.09026148,1.99814458,1.3387206,2.74928146,2.11524288,0.44525387,2.66092998,3.65312111,8.91428122,23.57718984,32.90121558,28.04302,,28.04302,29.61006703,32.556917,22.49902546,32.189368,13.66260802,11.723306,0,10.61284415,36.29380375,8.247044,8.247044,34.23317645,15.365039,47.040321,47.62283517,15.772789,34.68833799,34.66423,21.92126753,18.819814,37.36501288,27.148025,35.7837923,30.136431,23.58169739,24.91941
REGALIAS MINERAS,BENI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0.08109426,0.13829371,0.136833,0.136833,1.34526466,0.09194,29.601152,29.79094375,0.09438,24.89506557,12.464461,38.0059554,19.68113,42.65842748,22.063027,75.31745061,34.656894,106.71181286,79.617847
REGALIAS MINERAS,PANDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0.53292002,0,0,0.1043611,0.04581,2.247927,2.08855143,0.047026,1.16918088,0.810736,1.16232256,0.629796,1.6826356,1.337627,2.03976507,1.506821,1.79700753,0.468265
REGALIAS HIDROCARBURIFERAS,CHUQUISACA,0,0,0,0,0,28.67466718,20.07259315,15.06896956,17.70136957,34.00805566,38.42627244,19.4938494,26.41516657,46.46881374,38.29161876,67.86379531,75.62412537,102.722373,46.350611,149.072984,137.0812658673,129.189369,138.0983084496,52.947729,119.8249078497,127.478934,6.405627,135.2106252406,237.2658741,187.164464,534.750315,544.36530279,364.45641,614.755367,617.92745409,415.994896,451.90876724,258.374255,263.02788556,242.858199,262.85512181,264.810916,342.95655123,373.43565,296.57983794,269.613397
REGALIAS HIDROCARBURIFERAS,LA PAZ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
REGALIAS HIDROCARBURIFERAS,COCHABAMBA,0,0,0,0,0,61.91004709,67.23285218,59.03335911,71.11796647,121.7173999,133.73379636,128.44144403,174.61089114,241.91541013,239.08583823,248.60551873,264.51569053,250.864213,113.195493,364.059706,265.4310546824,278.211272,238.5739927192,187.628257,206.8017861786,162.549854,19.060104,219.5057961119,269.63991126,200.564777,271.311743,269.70235892,229.060237,234.965961,220.78138375,218.826383,138.65448485,94.926703,87.32396911,78.551832,80.90633916,80.606791,85.08236506,85.193452,85.35135436,74.574124
REGALIAS HIDROCARBURIFERAS,ORURO,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
